"Planet_ID","Fraction_Advanced_Civilizations"
1,0.31290937152409
2,0.785450459908936
3,0.404689876082568
4,1
5,0.917890185727919
6,0.197203559832886
7,0.373230207623982
8,0.950880419357653
9,0.563820438850285
10,0.478208892177844
11,0.994797293625866
12,0.403101810880046
13,0.644249897085925
14,0.4707758636457
15,0
16,0.930177834542249
17,0.290908712217603
18,0.0473599562038967
19,0.420147466070675
20,1
21,0.840436199458093
22,0.461886518592518
23,0.741080666214523
24,0.923349700365457
25,0.586904937469086
26,0.811087605137407
27,0.515588724006255
28,0.472070249221726
29,0.307290085269455
30,0.133224511068021
31,0.963600651126543
32,0.940827085232068
33,0.653639275243443
34,0.859905072539061
35,0.00256502832707445
36,0.510974167483406
37,0.868143438837802
38,0.259926084916939
39,0.285587849081726
40,0.346506547197772
41,0.242150407978501
42,0.469386031765328
43,0.437597499806922
44,0.306054843320772
45,0.288509992595266
46,0.0787801047342976
47,0.451767398753855
48,0.619223512871365
49,0.242402604455314
50,0.755185625312186
51,0
52,0.467888445120828
53,0.774255657797104
54,0.0871450000354067
55,0.465786127032022
56,0.202028617135538
57,0.0490412032976194
58,0.586513670643956
59,0.857022707124524
60,0.466362436792135
61,0.607580498367176
62,0.155637093146595
63,0.222181366969229
64,0.268827448020937
65,0.866580759273935
66,0.478631677608622
67,0.820631972463696
68,0.748318908689025
69,0.709371886507531
70,0.337418808542654
71,0.766239818349265
72,0.534473670140981
73,0.661126656981564
74,0
75,0.659702774621763
76,0.154923894991809
77,0.403355194951431
78,0.620567088230618
79,0.255612245830019
80,0.104004615735235
81,0.388074558562064
82,0.713205992756101
83,0.421770071878056
84,0.745946150795503
85,0
86,0.548026462839024
87,0.838892972891935
88,0.96704586548672
89,1
90,0.0306633341756663
91,0.200874125102523
92,0.626882176099417
93,0.18630205634685
94,0.505291362588721
95,0.160219625130672
96,0.134600467049644
97,0.636118742816552
98,0.162386664010143
99,0.676789935622247
100,0.382802412297428
